Hash,From,To,Amount
0xc8f33424fc05d0d188b373f64d47cd092ca7af95ca2e20db06a5c2d6989c8c2c,0x4a5cf9ecc6fdD4750df92a33ceD79D477D9298c8,0x907F292282e815E6D86A2147D62d14235Cde5d19,5.615904521116015
0x7f23580818760cc245d434d05d353f08e928032d3c200e67582ab210a98feaed,0xC4bA0886D0d39aA96243118481FD5a5aa54bD9Ee,0x8fd587B5ea5ABD65ad3439D9E58c63222866bAA9,5.314586370629331
0x53e32693b33ff9b0e7a35a51a3596d5c0cb37afd974944f413cd3df5768fac02,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0x7574b32d2A5bc3a1F159F55F5F18C820AA93d99C,97.95254093
0x2e86a77866db298b8cd061eed82d81b19d9213353fbc2da929eb023834d4fe05,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0x4694ff261C083d9946fCeAdD2c1b7e0Aa54574C6,70.24257808
0x5d0cd3a336a6de15b514a5b0c19c544aae31c0257464ccebb684318a93b36d88,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0x5528cBC6BBcb1789146dfc93F2f16b523b501b9c,100.09191583
0xa56470ffcebf7032dc6ed7017aa7e8b9fe6297c142880488906d0ebea0ed9533,0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,0x38B762FC4d538efD9adDEfd4F6dae8472ffD9B74,1582.2
0xe9efa4625679915f9e8adf1de6b1a0d4dd5b35748fb5f66707da5257d4c8afb4,0x38B762FC4d538efD9adDEfd4F6dae8472ffD9B74,0x0ab7948DF5BF2da2f9A0264600B70a993E1a3a12,1582.2
0xefcf69862de16261b8e8daf1b1bcff4b44db8fd71678a1235304cd9478f28311,0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,0x8C2755Cdcf38086d3001c39d5A1b876e9AD9bc75,447.47081345182744
0xb7f14b9cd608d150777ba11ed559f6476e54dc1cf9ba7906002e6be6c1286b08,0x8C2755Cdcf38086d3001c39d5A1b876e9AD9bc75,0x9719D81c506c95f92caF970851b22AFc88aee574,447.4720445020787
0xb7f14b9cd608d150777ba11ed559f6476e54dc1cf9ba7906002e6be6c1286b08,0x9719D81c506c95f92caF970851b22AFc88aee574,0x4195530d44c96875199Fb03525DCB0F22e151f97,2.2373602225103935
0x523afe2291de0c9e4ec420065d4999ff5f54f362eac70d77ed9b6d6be933d698,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,0xAEB6AA86232e7892E973899f885584Ce530FaFd5,748.55113
0xfe5f2105c9e1735f8431d0627b2fd3e60cfcb62e4c93e85c8a80c29bf3926638,0xAEB6AA86232e7892E973899f885584Ce530FaFd5,0xb8bA36E591FAceE901FfD3d5D82dF491551AD7eF,748.55113
0xe5d5b79be461b00f6e349c2abe00ed69a5ec02453f51f4ebcbbdf18291fdaf02,0x61ed4B62E03798305818607C7160B2AbFF15cFeD,0xC4dceD96d20F70BC03226035F946e31C2a59CFFD,184.88974396
0x27395337d531f71c5c91347fa928afdacdfbe41e4bbc1505cb9ad6c736dd59be,0xC4dceD96d20F70BC03226035F946e31C2a59CFFD,0xb8bA36E591FAceE901FfD3d5D82dF491551AD7eF,184.889743
0x2b2f3f367d0c27a0f7e8225d9447f12c6be5ceed85f8ee6f9e6641ab3158ca8e,0xebc18d25d8122da21F73A6BcB78971671f21F6Ff,0x5ffF56c053d5428aF6c34341535E0f6f9D5EbB4e,1093.30115939
0x3e6bb4e92434c7745715c03c41bb07cf781af53663a34961ae0173d633efb957,0x5ffF56c053d5428aF6c34341535E0f6f9D5EbB4e,0xb8bA36E591FAceE901FfD3d5D82dF491551AD7eF,1093.301159
0x1936ca4de39eaa495d314aa03551739aa8a0d97a196bc9e4ede6eb49b991ae0a,0x42EcfF1BAf9422508d769C1ca0bA5D506E7a418a,0xF694D97E6651f37494D455f23Ea5b35D8Beb866D,450.4611286359271
0xe60011a01e0475ed8ebd09028013ff25872a079162b25ab848f6e6f969fcd654,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0x4a4e5c9d4C39Db35C5C36df467CD1ffFe38787Cf,52.20456942
0x05f42197baa776c9d7b3a65d2bc9441c82539f1d212f091a20c0f6939d0e2e96,0x36b7C360dE54850063FD862513f647dFd29cdf57,0x4dfAf4bd37d27f909cDc94b2eA5385351c19bC6F,7457
0x3e01ceb85128e50c01daebc3e5fffa0b9213f398b556b1064212b611ddb98e9b,0xe7620926d4B3E95F57CCB45169F12e3E453A5681,0x74de5d4FCbf63E00296fd95d33236B9794016631,674.91975464
0x3e01ceb85128e50c01daebc3e5fffa0b9213f398b556b1064212b611ddb98e9b,0x74de5d4FCbf63E00296fd95d33236B9794016631,0x8fd587B5ea5ABD65ad3439D9E58c63222866bAA9,674.91975464
0xa6f0274534df712737933160d33f7d0dea8bf4839c13f02a76337666c4d57863,0xebc18d25d8122da21F73A6BcB78971671f21F6Ff,0x3f95e41f562CEde21571bA35b822105b12555A92,498.40402965
